label,file,algo,cid,service_type,node_id,local_step,wait_time,pull_time,deploy_delay,completion_time,run_time,reuse_mb,downloaded_mb
baseline,result_500.json,FG-DSCR,c398,default,edge-4,93,9060.8,0.0,9060.8,9103.8,43.0,22618,0
baseline,result_500.json,FG-DSCR,c458,default,edge-4,94,9103.8,0.0,9103.8,9146.8,43.0,22618,0
baseline,result_500.json,FG-DSCR,c130,default,edge-4,95,9146.8,940.0,10086.8,10135.8,49.0,17190,9400
baseline,result_500.json,FG-DSCR,c340,default,edge-4,96,10135.8,0.0,10135.8,10184.8,49.0,26590,0
baseline,result_500.json,FG-DSCR,c010,default,edge-4,97,10184.8,0.0,10184.8,10233.8,49.0,26590,0
baseline,result_500.json,FG-DSCR,c040,default,edge-4,98,10233.8,0.0,10233.8,10282.8,49.0,26590,0
baseline,result_500.json,FG-DSCR,c190,default,edge-4,99,10282.8,0.0,10282.8,10331.8,49.0,26590,0
baseline,result_500.json,FG-DSCR,c370,default,edge-4,100,10331.8,0.0,10331.8,10380.8,49.0,26590,0
baseline,result_500.json,FG-DSCR,c280,default,edge-4,101,10380.8,0.0,10380.8,10429.8,49.0,26590,0
baseline,result_500.json,FG-DSCR,c100,default,edge-4,102,10429.8,0.0,10429.8,10478.8,49.0,26590,0
baseline,result_500.json,FG-DSCR,c076,default,edge-6,1,0.0,448.0,448.0,479.0,31.0,0,4480
baseline,result_500.json,FG-DSCR,c226,default,edge-6,2,479.0,0.0,479.0,510.0,31.0,4480,0
baseline,result_500.json,FG-DSCR,c016,default,edge-6,3,510.0,0.0,510.0,541.0,31.0,4480,0
baseline,result_500.json,FG-DSCR,c406,default,edge-6,4,541.0,0.0,541.0,572.0,31.0,4480,0
baseline,result_500.json,FG-DSCR,c376,default,edge-6,5,572.0,0.0,572.0,603.0,31.0,4480,0
baseline,result_500.json,FG-DSCR,c166,default,edge-6,6,603.0,0.0,603.0,634.0,31.0,4480,0
baseline,result_500.json,FG-DSCR,c196,default,edge-6,7,634.0,0.0,634.0,665.0,31.0,4480,0
baseline,result_500.json,FG-DSCR,c106,default,edge-6,8,665.0,0.0,665.0,696.0,31.0,4480,0
baseline,result_500.json,FG-DSCR,c346,default,edge-6,9,696.0,0.0,696.0,727.0,31.0,4480,0
baseline,result_500.json,FG-DSCR,c436,default,edge-6,10,727.0,0.0,727.0,758.0,31.0,4480,0
baseline,result_500.json,FG-DSCR,c466,default,edge-6,11,758.0,0.0,758.0,789.0,31.0,4480,0
baseline,result_500.json,FG-DSCR,c496,default,edge-6,12,789.0,0.0,789.0,820.0,31.0,4480,0
baseline,result_500.json,FG-DSCR,c136,default,edge-6,13,820.0,0.0,820.0,851.0,31.0,4480,0
baseline,result_500.json,FG-DSCR,c046,default,edge-6,14,851.0,0.0,851.0,882.0,31.0,4480,0
baseline,result_500.json,FG-DSCR,c286,default,edge-6,15,882.0,0.0,882.0,913.0,31.0,4480,0
baseline,result_500.json,FG-DSCR,c256,default,edge-6,16,913.0,0.0,913.0,944.0,31.0,4480,0
baseline,result_500.json,FG-DSCR,c316,default,edge-6,17,944.0,0.0,944.0,975.0,31.0,4480,0
