base_requests,target_requests,cache_scale,wan_mb_s,baseline,num_seeds,mean_ready_gain_pct,p95_gain_pct,registry_reduction_pct,p2p_offload_pct
500,250,1.0,100.0,peersync_style,20,40.698157200396494,40.28498863662031,58.3077083261028,58.23519709091799
500,250,2.0,10.0,dragonfly_style,20,61.005820676290966,57.795067719429305,59.77582532161859,57.591211708261916
500,250,2.0,10.0,ilrsa_style,20,-29.243949143409463,-13.115452552347305,0.0,0.0
500,250,2.0,10.0,metapipe_reactive_style,20,62.5220115309011,57.651926335327296,59.31888924666882,57.58707886938604
500,250,2.0,10.0,peersync_style,20,62.830676306557265,60.506659634520005,63.400647070549084,61.223236393438434
500,250,2.0,30.0,dragonfly_style,20,59.43467666311779,57.53102795621726,59.257555545333275,57.132412453452
500,250,2.0,30.0,ilrsa_style,20,-29.24394914340938,-13.115452552347193,0.0,0.0
500,250,2.0,30.0,metapipe_reactive_style,20,61.30620987603369,56.979091833606056,58.763052578315474,57.046049818253124
500,250,2.0,30.0,peersync_style,20,61.25599805188235,60.093618781769315,63.400647070549084,61.223236393438434
500,250,2.0,100.0,dragonfly_style,20,52.98560291486443,52.311394672821926,59.239155434932606,57.07616098430098
500,250,2.0,100.0,ilrsa_style,20,-29.51326627214235,-14.249385324114023,0.0,0.0
500,250,2.0,100.0,metapipe_reactive_style,20,57.30575294342613,52.909651446150136,58.80445282671696,56.93440979983729
500,250,2.0,100.0,peersync_style,20,54.20800311070482,54.17875924131123,63.400647070549084,61.223236393438434
1000,500,0.5,10.0,dragonfly_style,20,22.597424043682103,17.332519126526645,15.35199656870649,15.373106898913226
1000,500,0.5,10.0,ilrsa_style,20,-32.6356836675264,-5.951042857744523,0.0,0.0
1000,500,0.5,10.0,metapipe_reactive_style,20,33.00451229943012,19.450674110483195,16.361612099568354,16.367224327737993
1000,500,0.5,10.0,peersync_style,20,27.002051535803268,23.513102170222272,20.82989849090008,20.825823115466136
