base_requests,target_requests,cache_scale,wan_mb_s,baseline,num_seeds,mean_ready_s_mean,mean_ready_s_ci95,p95_ready_s_mean,p95_ready_s_ci95,makespan_s_mean,makespan_s_ci95,registry_mb_mean,registry_mb_ci95,peer_mb_mean,peer_mb_ci95,p2p_offload_pct_mean,p2p_offload_pct_ci95,runtime_ms_mean,runtime_ms_ci95
500,250,2.0,100.0,registry,20,12.65274201417302,1.9036908051793744,56.3305,6.256596229753642,66.399375,6.777894207624002,6521.7,669.2724099768537,0.0,0.0,0.0,0.0,61.778655648231506,5.462973108165079
1000,500,0.5,10.0,dragonfly_style,20,666.9277567715425,18.977129511615754,1276.05110138889,55.55904442081081,1391.3550000000012,50.32252209952132,13913.55,503.22522099521245,2523.4,226.10378335166075,15.373106898913226,1.3837891386918226,127.70177125930786,5.622178287440009
1000,500,0.5,10.0,ilrsa_style,20,1142.8355953704274,51.3239410714204,1635.4550000000002,52.46383611980438,1643.6949999999983,50.771044354956466,16436.95,507.71044354956507,0.0,0.0,0.0,0.0,291.1902453750372,16.961198488920846
1000,500,0.5,10.0,metapipe_reactive_style,20,577.2566322750333,11.302144784511329,1243.3553669642858,47.44940254631835,1374.7622000000001,51.921070221032586,13747.6,519.2032422235236,2689.35,304.4701981540227,16.367224327737993,1.7775145958433785,183.0351322889328,9.266828616587274
1000,500,0.5,10.0,peersync_style,20,628.9759406150305,18.873869949757758,1180.6479305555565,52.62732696799597,1301.315000000001,49.02899384480677,13013.15,490.28993844806536,3423.8,316.99100063492915,20.825823115466136,1.7759487958082996,204.93998378515244,10.412285472301885
1000,500,0.5,10.0,registry,20,861.6350922841674,24.148935009359693,1543.5949999999987,44.90570777753831,1643.6949999999986,50.77104435495616,16436.95,507.71044354956507,0.0,0.0,0.0,0.0,111.58659420907497,4.846374446412091
1000,500,0.5,30.0,dragonfly_style,20,222.0879546829212,6.63661603571281,422.3721738425925,18.152292409700223,463.7249999999999,16.943344995177927,13911.75,508.3003498553362,2525.2,226.46769041851607,15.388598603843157,1.4010348911498602,128.11400070786476,5.599232086009789
1000,500,0.5,30.0,ilrsa_style,20,380.94519845680963,17.10798035714013,545.1516666666678,17.487945373268218,547.8983333333341,16.923681451652143,16436.95,507.71044354956507,0.0,0.0,0.0,0.0,291.3117479532957,16.88191202492186
1000,500,0.5,30.0,metapipe_reactive_style,20,192.14613292489082,3.6372995237858317,414.82104119386577,15.778165154983986,458.411936,17.29895193664729,13752.25,518.9591589618735,2684.7,303.18784984928243,16.33927894580033,1.7686392233953987,184.82106439769268,9.073168573132033
1000,500,0.5,30.0,peersync_style,20,209.86409131959317,6.3038007084166345,395.5373914682537,18.714426227020024,432.69833333333304,16.727261766870793,12980.95,501.8178530061232,3456.0,330.48226172728084,21.024711364158986,1.8897607674932742,204.97579909861088,10.446617482262226
1000,500,0.5,30.0,registry,20,287.2116974280563,8.04964500311995,514.5316666666672,14.96856925917953,547.898333333334,16.923681451652115,16436.95,507.71044354956507,0.0,0.0,0.0,0.0,110.44673584401608,4.90839644137024
1000,500,0.5,100.0,dragonfly_style,20,67.65008142529676,1.983117320913407,133.553656179997,7.12210451405357,151.22021723968004,6.43760866481318,13963.15,495.24518604894604,2473.8,234.8442705251537,15.057846929493719,1.3936395822438723,128.54087240993977,5.816001408758008
1000,500,0.5,100.0,ilrsa_style,20,114.38336230692842,5.138237431035423,164.79225000000037,5.401501631352219,166.13750000000056,5.140171921211909,16436.95,507.71044354956507,0.0,0.0,0.0,0.0,291.35137498378754,17.011581754921746
1000,500,0.5,100.0,metapipe_reactive_style,20,58.376942109757614,1.1533361499872834,131.53308568265385,6.4186357725282,150.95045977056722,6.498134438373603,13802.05,546.4576304665313,2634.9,274.55412808734184,16.070278839642068,1.6658931370125807,187.3101707547903,9.627502362097198
1000,500,0.5,100.0,peersync_style,20,63.86477507085493,2.0217457492841913,126.58823693866555,7.582485594380956,143.2047382097469,6.47948815265658,13026.7,481.6464343571619,3410.25,333.0779901300569,20.72764981813467,1.848464387590411,206.6673468798399,10.374771992317658
1000,500,0.5,100.0,registry,20,86.18734013441825,2.4160285301014133,154.36349999999976,4.490009766419891,166.13749999999987,5.140171921211915,16436.95,507.71044354956507,0.0,0.0,0.0,0.0,110.34618206322193,4.8066979687197575
1000,500,1.0,10.0,dragonfly_style,20,402.54376409179963,28.064330546232526,728.302654367835,32.35390440942833,802.558486855159,30.701538330142167,7991.25,306.33386781133424,7008.35,531.2291522559458,46.52466666377278,2.3596977435346758,126.6112633049488,6.468496579196739
1000,500,1.0,10.0,ilrsa_style,20,878.133636856831,51.032338498966034,1492.700000000001,52.44393449961797,1499.959999999999,51.8504967458093,14999.6,518.5049674580989,0.0,0.0,0.0,0.0,280.654651299119,17.733164235971337
